labels,text,translated_text
en,This seems really sturdy but I had to rig it to get enough pull for the foot rest to disengage.,이것은 정말 튼튼해 보이지만 발 받침대가 풀릴 수 있도록 충분히 당겨야 했습니다.
vi,"Các nguyên tắc giá phòng bên dưới là dành cho một phòng đôi với tắm trong mùa cao , bao gồm cả sáng và vat ( thuế giá trị-Thêm ) .",아래의 객실 요금 가이드라인은 성수기 샤워가 있는 더블룸 기준이며 아침 식사와 부가세(부가가치세)가 포함되어 있습니다.
it,l'iniziativa per la sicurezza della proliferazione chiede di fermare e perquisire le navi sospettate di trasportare armi di distruzione di massa.,Proliferation Security Initiative는 대량 살상 무기를 운반하는 것으로 의심되는 선박의 정지 및 수색을 요구합니다.
ja,年賀状の印刷用に購入したが、2年(2回使用)で故障。保証期間は1年で、修理費用は買替え費用以上。 年賀状だけなら外注に出した方がイイですね…。,"연하장의 인쇄용으로 구입했지만, 2년(2회 사용)으로 고장. 보증 기간은 1년으로, 수리 비용은 매입 비용 이상. 연하장만이라면 외주에 내놓은 것이 좋네요…"
de,"Ein super schöne hülle. Haptik und Aussehen top, es siehts sehr gut aus. Sehr elegant, Handy gut geschützt, alle Funktionen von außen trotzdem gut zu bedienen. Das Handy ist geschützt vor Kratzern.","아주 좋은 경우입니다. 느낌과 모양이 최고, 아주 좋아 보인다. 매우 우아하고 휴대폰이 잘 보호되며 모든 기능을 외부에서 쉽게 조작할 수 있습니다. 휴대폰은 흠집으로부터 보호됩니다."
zh,书的侧面的胶水根本没有黏住，一打开就开了,"책 옆면에 붙은 풀이 전혀 안붙고, 뜯자마자 쫙 펴졌어요"
ur,صرف درختوں اور گرمیوں کے درمیان تقسیم کردہ اور گرمیوں میں 16 ویں صدی کے اوائل میں قائم ہوئے ۔,16세기 초에 설립된 나무와 여름과 여름으로만 구분됩니다.
tr,"Program , sistem hatalarını düzeltmek için tasarım değişiklikleri içeren 2002 ve 2003 yıllarında altı ek kalkınma birimi inşa etmeyi , geliştirmek ve test etmeyi planlıyor .","이 프로그램은 2002년과 2003년에 시스템 버그를 수정하기 위한 설계 변경을 포함하는 6개의 추가 개발 단위를 구축, 개발 및 테스트할 계획입니다."
en,"I was really pleased when I first got this battery but three months later, and it's worthless. I need to order another battery but I'll be choosing a different brand. 3 months",처음 이 배터리를 받았을 때 정말 기뻤지만 3개월 후에는 쓸모가 없었습니다. 다른 배터리를 주문해야 하지만 다른 브랜드를 선택하겠습니다. 3 개월
ar,لقد وضع يده في جيبه .,그는 주머니에 손을 넣었다.
bg,"и беше много лесно да се поддържа тази позиция , че знаеш , че този живот е нещо , което нямаш право да взимаш .",그리고 이 삶이 당신이 취할 권리가 없다는 것을 알고 있다는 입장을 유지하는 것은 매우 쉬웠습니다.
nl,Tientallen doden in een luchtaanval op de bakkerij in het midden van Syrië...,시리아 중부 빵집 공습으로 수십명 사망…
el,"Σωστά , γι ' αυτό είπα δημοκρατία της Δημοκρατίας .","맞아요, 그래서 공화국의 민주주의라고 했죠."
es,calidad-precio buena,돈을 위해 좋은 가치
nl,De vrouw heeft de kangoeroe opgepakt.,여자는 캥거루를 집어 들었다.
bg,"прозрачността на карибите и пълна подводен живот го правят идеален за гмуркане , и тъй като водата остава tropically топла година , не би трябвало да ви трябва цял костюм .",카리브해의 투명성과 풍부한 수중 생물은 다이빙에 이상적이며 물은 일년 내내 열대성으로 따뜻하기 때문에 정장이 필요하지 않습니다.
sw,Should nini ?,무엇을 해야 합니까?
es,"Es de buena calidad y abriga mucho. Compre una talla L y se corresponde, es anchita.",품질도 좋고 매우 따뜻합니다. 나는 L 사이즈를 샀고 그것은 넓습니다.
ar,لقد قطع اللحم بشكل سيء ولكن اخيرا شعر بان الحبل يركد,그는 고기를 잘랐지만 마침내 밧줄이 처지는 것을 느꼈습니다.
el,"Και μ ' αρέσει να διαβάζω , ξέρεις τη βίβλο . Έχω βιβλία της Βίβλου , οπότε μου αρέσει να της τα διαβάζω και πραγματικά τα απολαμβάνει .",그리고 나는 읽는 것을 좋아합니다. 당신은 성경을 알고 있습니다. 나는 성서 책을 가지고 있어서 그녀에게 읽어 주는 것을 좋아하고 그녀는 그것을 정말 좋아합니다.
el,"Η συνεχής προσομοίωση της εθνικής αποταμίευσης του 2000 αντανακλά ένα απροσδιόριστο μείγμα εξοικονόμησης από νοικοκυριά , επιχειρήσεις και όλα τα επίπεδα της κυβέρνησης .","2000년 국민저축의 지속적인 시뮬레이션은 가계, 기업 및 모든 수준의 정부에 의한 저축의 불특정 혼합을 반영합니다."
nl,Miljoen Muppet March' ter verdediging van Obama's steun aan PBS...,오바마의 PBS 지지를 위한 백만 머펫 행진...
zh,质量？？？？??????????????????,품질? ? ? ? ????????????????????
ja,小銭入れが外向きに開くので、お札の出し入れと一緒にすると使い勝手が悪い。 半日で使用をやめました。,동전 지갑이 외향으로 열리므로 지폐의 출납과 함께하면 사용이 나쁘다. 반나절에 사용을 중지했습니다.
pl,Co najmniej 20 zabitych w Somalii atakuje,소말리아 공격으로 최소 20명 사망
de,"Bei jedem Anschalten springt die LED-Leuchte in eine von drei Helligkeitsstufen. Ist sie ausgeschaltet verbraucht sie keinen Strom. Funktioniert ohne Netzteil. Stabile Verarbeitung. Die Farbtemperatur ist nicht zu gelb und nicht zu neutral, irgendwo dazwischen. Leuchtkörper ab Werk eingesetzt. Stabile Kartonverpackung.",전원을 켤 때마다 LED 표시등이 세 가지 밝기 수준 중 하나로 점프합니다. 꺼져 있으면 전기를 전혀 소비하지 않습니다. 전원 공급 장치 없이 작동합니다. 안정적인 처리. 색온도는 너무 노랗지도 않고 너무 중립적이지도 않은 중간 정도입니다. 조명기구는 전 작업에 적합했습니다. 안정적인 골판지 포장.
zh,里面的分层和口袋设计非常好，做工也不错，可是材质真心一般,내부의 레이어링과 포켓 디자인도 아주 좋고 솜씨도 좋은데 소재는 정말 보통입니다
ja,見た目は良かったが使い勝手と重量がいまいちでした,외형은 좋았지만 사용하기 쉽고 무게가 좋았습니다.
ja,幾多ある中でコスパが一番良いのでは? 欲を言うと、練習者が使うものですからネットの高さをもう少し高く、また、持ち運びしやすいように、分解でなく、折り畳める様に成れば汎用性が増えますが,수많은 가운데 코스파가 제일 좋은 것은? 성이 증가하지만
th,ไป เทียว ไส ว่า จอน,고 티오 사이와 존
vi,"Đối tượng tham gia đang bị sốt sân , với những người la hét như những người anh hùng cá nhân của họ chúng tôi đã chờ đợi bạn !","참가자들은 피치 열병에 시달리고 있으며, 개인 영웅처럼 소리를 지르며 기다리고 있습니다!"
nl,N Korea zegt dat het de lancering van controversiële raketten kan vertragen.,북한이 논란이 되고 있는 미사일 발사를 연기할 수 있다고 밝혔습니다.
th,โอเค ฉัน คิด ว่า ลา กฎหมาย,알겠습니다. 안녕히 계세요.
pt,Uma mulher está a desossar um peixe.,한 여성이 생선을 뼈다귀로 만들고 있습니다.
en,Wish there wasn't a timer.,타이머가 없었으면 좋겠습니다.
de,"Habe das Set als Neu- Ware bestellt und es kam in einer Versandtasche bei mir Zuhause an, der Karton war beschädigt/ geknickt und für einen Sammler der Neu- Ware bestellt ist das ein NoGo, Ein Karton als Versandverpackung bei Neuware ist angebracht.",세트를 새 상품으로 주문했는데 우편 봉투에 담겨 집에 도착했습니다. 상자가 손상/뒤틀리고 새 상품 수집가를 위해 주문한 것입니다. 새 상품의 배송 포장으로 상자가 부착되어 있습니다.
fr,Je déconseille ce produit ... toutes les poches ont eu les fermetures cassées au bout d’1 utilisation ...,나는이 제품을 권장하지 않습니다 ... 모든 주머니가 1 사용 후 잠금 장치가 끊어졌습니다 ...
ar,هذا جيد جدا نعم زوجي لم يضع اسمه عليه حتى انا لا اؤمن بهذا,"아주 좋아요. 네, 제 남편은 이름도 적지 않았습니다. 저는 그것을 믿지 않습니다"
en,"It fits exactly how I wanted. One of the seams is frayed and there's a whole in the side - straight out of the package. That's reallly disappointing. Otherwise, the length and fit is great.",제가 원하던 방식과 정확히 일치합니다. 솔기 중 하나가 닳았고 측면에 전체가 있습니다. 패키지에서 바로 꺼낸 것입니다. 정말 실망스럽네요. 그렇지 않으면 길이와 착용감이 좋습니다.
pt,"Última Violência Anti-Muçulmana na Birmânia Mata 1, Ferimentos 10",최근 버마에서 발생한 반무슬림 폭력으로 1명이 사망하고 10명이 부상당함
pl,Ale nieadekwatna wydajność uczniów w różnych podgrupach oznaczała stan jako wadliwy w ramach federalnej ustawy o nieletnich pozostawionych za sobą.,그러나 하위 그룹 전반에 걸친 부적절한 학생 성과는 미성년자 뒤에 남겨진 연방 법에 따라 주를 결함으로 표시했습니다.
de,"Ich habe die Paste bis jetzt nur einmal verwendet und werde es wahrscheinlich nicht nochmal tun. Sie ist extrem klebrig und mit der mitgelieferten Pipette lässt sie sich schwer verteilen, sodass man seinen Finger dennoch nutzen muss. Was aber noch schlimmer war, war der Brechreiz den meine Katze danach hatte. Sie hat sich überhaupt nicht mehr beruhigt. Und ihr Zahnfleisch war dann super klebrig. Die Arme konnnte das Leckerchen gar nicht annhemen =(",나는 지금까지 페이스트를 한 번만 사용했으며 아마도 다시는 사용하지 않을 것입니다. 매우 끈적거리고 동봉된 스포이드로 펴바르기 어려우므로 여전히 손가락을 사용해야 합니다. 그러나 더 나쁜 것은 내 고양이가 나중에 메스꺼움을 느꼈습니다. 그녀는 전혀 진정되지 않았습니다. 그리고 그녀의 잇몸은 매우 끈적했습니다. 가난한 사람들은 대접을 받아들일 수 없었습니다 =(
ur,دیواروں کی دیواروں کو تباہ کر دیا گیا ۔,벽의 벽이 파괴되었습니다.
nl,Cricket-Engeland v Australië vierde testscorebord,Cricket-England v 호주 네 번째 테스트 스코어보드
th,แต่ จริงๆ แล้ว พวกเขา เริ่ม โทร หา ฉัน บอก ฉัน ว่า ฉัน สามารถ รู้ ว่า ซื้อ น้ำยา ปรับ น้ำ นุ่ม ๆ และ พวกเขา เรียก ฉัน สำหรับ อืม สิ่ง อื่น นอกจาก น้ำยา ปรับ น้ำ ที่ เดิม ที่ โทร หา ฉัน สำหรับ,하지만 실제로 그들은 나에게 전화를 걸어 연수기를 어디서 살 수 있는지 알 수 있다고 말했고 그들은 원래 그들이 나에게 전화했던 연수기 이외의 다른 것을 요구했습니다.
vi,"Nếu web dấu vân tay nó và truyền hình đi kèm với nó , in phải theo dõi .",웹에서 지문을 찍고 TV와 함께 제공되는 경우 지문을 추적해야 합니다.
bg,"но през повечето време това е начинът , по който местните растат , защото не получават водата , те не получават , те растат при лоши условия .",하지만 대부분의 경우 원주민이 자라는 방식입니다. 왜냐하면 그들은 물을 얻지 못하기 때문입니다. 그들은 나쁜 조건에서 자랍니다.
en,Love this rug. Great quality and cozy.,이 깔개를 사랑하십시오. 훌륭한 품질과 아늑함.
ar,"النقاد فقط الشكاوى عن المسرحية نفسها , والتي يطلقون عليها الثقيلة و overlong .",연극 자체에 대한 비평가들의 유일한 불만은 무겁고 너무 길다는 것입니다.
ja,臣君目当てで買いましたが、掲載頁が少なく残念でした。でも、ステキなカットばかりでかっこ良かったです。,"신군 목표로 샀습니다만, 게재 페이지가 적게 유감이었습니다. 하지만 멋진 컷만으로 멋있었습니다."
vi,"Ý tôi là , và sau đó có một tấn số liệu và sau đó có một tấn nhưng những gì là một số liệu tấn","내 말은, 그리고 엄청난 양의 지표가 있고 그 다음에는 엄청난 양이 있지만 1톤이 무엇입니까?"
tr,UM-hum iyi bak başka ne konuşabiliriz yemek hakkında,UM-hum 우리가 음식에 대해 다른 이야기를 할 수 있도록 조심하십시오
it,"Inspira, espira, vai avanti.","들이쉬고, 내쉬고, 계속하세요."
sw,"Kujadili makala ya sekta ya jumamosi ya jumamosi katika gazeti la new york times , mwandishi wa anaelezea watoto matajiri kama overprivileged .",New York Times의 토요일 업계 기사에 대해 논의하면서 저자는 부유한 어린이를 과잉 특권층으로 묘사합니다.
es,"Esto es algo bueno de tener pero mejor no tener que usarlo. Con un niño es muy complicado tomar la temperatura axilar, se mueven, no les gusta, les molesta y no aguantan tanto tiempo quietos. Por eso decidí comprar este termómetro digital de frente y de oído. El termómetro cambia para tomar la temperatura del oído o de la frente automáticamente cuando se saca el adaptador transparente de la punta. Con un solo click tengo al instante la temperatura del niño y lo mejor es que no tengo que encender ninguna luz para hacerlo. Espero no tener que usarlo pero es muy bueno saber que lo tengo. Muy contento con la compra!",이것은 있으면 좋지만 사용하지 않는 것이 좋습니다. 아이의 경우 겨드랑이 온도를 측정하는 것이 매우 어렵고 움직이고 좋아하지 않으며 귀찮고 오랫동안 가만히 서있을 수 없습니다. 그래서 이 디지털 이마 및 귀 온도계를 구입하기로 결정했습니다. 투명 팁 어댑터를 제거하면 온도계가 자동으로 귀 또는 이마 온도를 측정하도록 전환됩니다. 클릭 한 번으로 즉시 아이의 체온을 확인할 수 있으며 가장 좋은 점은 이를 위해 조명을 켤 필요가 없다는 것입니다. 나는 그것을 사용할 필요가 없기를 바라지만 내가 그것을 가지고 있다는 것을 아는 것이 좋습니다. 구매에 매우 만족합니다!
ru,""" Одиссея "" начинается с островов киклады , самой доступной островной цепи из Афин , столицы Греции .","""오디세이""는 그리스의 수도인 아테네에서 가장 접근하기 쉬운 섬 체인인 키클라데스 제도에서 시작됩니다."
zh,小字太多，页面太乱，内容不错，但说教味道太浓而风趣不足（不知道是不是翻译不到位导致胡）,"작은 글자가 너무 많고, 페이지가 너무 지저분하고, 내용은 좋은데 설교의 맛이 너무 강하고 유머가 부족합니다."
tr,Aynı övünme Kansas ' ta herkes tarafından bir .,Kansas의 모든 사람들이 .
zh,不好吃，个人不喜欢。口感较粗糙，味道偏甜。,맛없어서 개인적으로 별로에요. 맛은 거칠고 맛은 달다.
ur,اُنہوں نے سر اٹھائے ہوئے ، درجن بھر ، درجن بھر میں درجن بھر کے جسم کی طرف سے گھیر لیا ۔,그들은 수십 구의 몸에 둘러싸여 고개를 들었다.
th,เย้   lyndon   larouche   นั่น ดิ,Yay lyndon larouche 그 디
vi,Và làm cho con cái của họ ở lại đó chúng tôi tìm thấy ở trong khu vực đó để chúng tôi trả tiền nhỏ như hai mươi một giờ mà vẫn còn năm đô la một giờ cho hai đứa con của chúng tôi và nó rất vui chúng tôi cố gắng giữ nó cho một tối thiểu,그리고 그들의 아이들을 우리가 그 지역에서 찾은 곳에 머물게 하여 시간당 20달러밖에 지불하지 않고 두 아이들을 위한 시간당 5달러가 있고 아이들에게는 재미있습니다. 나는 그것을 최소한으로 유지하려고 노력합니다.
ur,آخر ء ( 8 ء ) ( 8 ء تا 8 ء ) ( 8 ء-8 ء ) اور ء ( 11 ء-11 ء ) میں سالانہ اضافے کی شرح ء ، 1990-93 ء اور ء سے ء تک کے سنتا ہے ۔,지난 해(8년)(8년에서 8년)(8년에서 8년) 및 연도(11년에서 11년)의 연간 성장률은 1990-93년과 해마다입니다.
ja,まず、映り込みが強く、指紋汚れも目立つZ500Mに辟易してタブレットにはあまり保護フィルムは使用しないのですが今回購入しました。 貼り付けは全く問題なし。気泡が入っても押しながら全て除去できた。 戻るボタンの感度を気にされている方はいらっしゃいましたが、私は気になりませんでした。個体差があるのでしょうかね？ 映り込みもなく、指紋汚れも気にならない。触った感じもさらさらして非常に良かったです。 まぁもっと安ければいいですよね。,"우선, 반영이 강하고, 지문 더러움도 눈에 띄는 Z500M에 질 쉽게 태블릿에는 그다지 보호 필름은 사용하지 않습니다만 이번 구입했습니다. 붙여넣기는 전혀 문제 없음. 기포가 들어가도 누르면서 모두 제거할 수 있었다. 뒤로 버튼의 감도를 신경 쓰는 분은 계셨습니다만, 나는 신경이 쓰이지 않았습니다. 개체 차이가 있습니까? 비쳐도 없고, 지문 더러움도 신경이 쓰이지 않는다. 만진 느낌도 드러내 매우 좋았습니다. 음, 더 싸면 좋지요."
en,"They zipper and latches aren't very sturdy, easily broken.",지퍼와 걸쇠는 매우 튼튼하지 않고 쉽게 부러집니다.
de,"Die Uhr kam sehr schnell in einer sehr guten, ansprechenden Verpackung. Sie entspricht der im Angebot abgebildeten Version genau. Zu bemängeln hätte ich die Kürze des Armbandes, es reicht wirklich sehr knapp um das Handgelenk und ich habe wirklich schmale Gelenke. Das würde ich bei einem Kauf unbedingt beachten",시계는 아주 훌륭하고 매력적인 포장으로 매우 빨리 왔습니다. 제안에 표시된 버전과 정확히 일치합니다. 나는 팔찌의 짧은 것에 대해 불평해야 할 것입니다. 그것은 손목 주위에 정말 꼭 맞고 관절이 정말 좁습니다. 구매시 꼭 참고하겠습니다
el,"Λοιπόν , έχεις κάποια σχέδια αποταμίευσης στη δουλειά ;",그래서 직장에서 저축 계획이 있습니까?
nl,Obama's poll rating daalt in boost voor Republikeinse rivalen,"오바마 지지율 하락, 공화당 경쟁자 지지"
th,ฉัน รู้ ว่า มี ท่อ ส่ง ท่อ เข้าไป ใน เพนซิลเวเนีย ภาคใต้ และ มี กลุ่ม ใน เขต   bucks   ที่ กำลัง ต่อสู้ กับ มัน และ หนึ่ง ใน ผู้หญิง ที่ เป็น ผู้นำ กลุ่ม พูด ดี พวกเขา บอ กว่า พวกเขา จะ ไป ปั๊มน้ำมัน ผ่าน ที่นั่น แต่ก่อน นาน พวกเขา จะ สูบ กัมมันตภาพรังสี ผ่าน มัน,남부 펜실베이니아로 가는 송유관이 있고 벅스 카운티에 이와 싸우고 있는 그룹이 있다는 것을 알고 있으며 그룹을 이끄는 여성 중 한 명이 그곳을 통해 주유소에 가겠다고 말했습니다. 오래 전에 그들은 방사능을 펌핑했습니다. 그것을 통해.
bg,"има на моника на корицата , и има въпроси за софтбол вътре ( ти подписа първата си книга вчера .",표지에 모니카가 있고 안에 소프트볼 질문이 있습니다(어제 첫 번째 책에 서명했습니다.
el,"Η δήλωση παρέχει εκτιμήσεις για πιθανή συνταξιοδότηση , αναπηρία και παροχές επιζώντων .","이 명세서는 잠재적 은퇴, 장애 및 생존자 혜택에 대한 추정치를 제공합니다."
zh,光盘怎么读不出来，能不能在线给我发一份？,CD를 읽을 수 없는 이유는 무엇입니까? 온라인으로 사본을 보내주실 수 있습니까?
fr,Cadeau pour une collègues pour la pause déjeuner. Sa a plus.,점심시간 동료에게 줄 선물. 더 있습니다.
vi,"Vâng , tôi nghĩ rằng họ đã nhận được tôi nghĩ rằng gần như tất cả mọi người trong số họ mà ông đã tuyển dụng ơ gia nhập cho năm nay","글쎄요, 그들이 저를 잡은 것 같아요. 당신이 모집한 거의 모든 사람들이 올해 합류한다고 생각합니다."
it,"È sospettato di essere una figura chiave in Jemaah Islamiyah, il gruppo terroristico legato ad al-Qaeda che è stato accusato degli attentati.",그는 폭탄 테러의 배후로 지목된 알카에다 연계 테러단체 제마 이슬라미야의 핵심 인물로 의심받고 있다.
vi,"' dorcas , ' cô ấy nói rằng , ' tôi đã có một cú sốc tuyệt vời . ' ' tôi xin lỗi vì điều đó , m ' s , ' tôi nói vậy .","' 도르카 ,' 그녀 가 말했다 , ' 나는 큰 충격 을 받았습니다 . ' '미안해, m's' 내가 말했다."
de,Von der Haptik und Qualität nicht wirklich überzeugend. Lässt sich auch unter fließendem Wasser sehr schlecht reinigen. Hatte mir wirklich mehr versprochen. Eher ein sehr minderwertiges Plastikteil. Keine Kaufempfehlung 👎🏽,느낌과 품질면에서 그다지 설득력이 없습니다. 또한 흐르는 물에 세척하기가 매우 어렵습니다. 정말 더 많은 것을 약속했습니다. 오히려 매우 열등한 플라스틱 부품입니다. 구매추천없음 👎🏽
ja,イヤホンと充電を同時に使用するとノイズが発生する。充電を切るとノイズが起こらない。,이어폰과 충전을 동시에 사용하면 노이즈가 발생한다. 충전을 끊으면 노이즈가 발생하지 않는다.
en,The sunglasses is comfortable to wear. Is light. Fit good. Love case too.,선글라스는 편안하게 착용할 수 있습니다. 가볍다. 잘 맞습니다. 러브케이스도.
fr,Kit de pâtisserie convient même au débutant. Attention certaines petite douilles sont coupante cela peut percer ou faire de petit trou dans les poches à douilles en plastique.,베이킹 키트는 초보자도 사용할 수 있습니다. 일부 작은 파이핑 팁은 날카롭기 때문에 플라스틱 파이핑 백에 구멍을 뚫거나 작은 구멍을 만들 수 있습니다.
en,Does not work. Very disappointed. Tried to return. Gave me wrong return label. Still sitting there.,작동하지 않습니다. 정말 실망했다. 반환을 시도했습니다. 잘못된 반품 라벨을 제공했습니다. 여전히 거기에 앉아 있습니다.
el,"Προφανώς , έχει λίγο μυαλό .",분명히 그는 약간의 두뇌를 가지고 있습니다.
ru,"Кровать бросает , а-а-а-а-а -","침대가 요동치고 있어, 아-아-아-아-아-"
th,มัน ร้อน ฝุ่น และ เสียงดัง ;   ถนน ของ มัน บ่อยครั้ง ที่ ติดขัด ;   ระบบ ขนส่ง สาธารณะ ของ มัน สำหรับ ส่วน ที่ มาก ที่สุด ใน ความวุ่นวาย,덥고 먼지가 많고 시끄럽습니다. 그것의 도로는 수시로 막힙니다; 혼돈의 대부분을 위한 대중 교통.
es,No es el primer cargador y baterías que tengo de Patona; buen precio y gran calidad. Gracias,내가 Patona에서 가져온 최초의 충전기와 배터리는 아닙니다. 좋은 가격과 좋은 품질. 감사
vi,"Nhưng đó có lẽ là điều thú vị nhất mà có thể nói về nó , nói rằng New York Times ' ben brantley .",그러나 그것은 아마도 그것에 대해 말할 수 있는 가장 흥미로운 것일 것이라고 New York Times의 ben brantley는 말합니다.
pt,"No Paquistão, o exército está inflexível na luta contra os outros Talibãs",파키스탄에서 군대는 다른 탈레반과의 싸움에서 단호합니다.
nl,"Marine jet stort neer in de gebouwen van Virginia, waarbij zes mensen gewond raken.",마린 제트기가 버지니아 건물에 충돌하여 6명이 부상을 입었습니다.
bg,кой е той ? - не знам. попита мога .,그는 누구입니까? - 나도 몰라. 물어볼 수 있습니다.
hi,"गौ / aimd00295 , सितंबर 6 , 2000 ) ने दिखाया कि 24 एजेंसी , शारीरिक और तार ् किक पहुंच नियंत ् रण में सिस ् टम अनुस ् यूत या दुरुपयोग का पता करने में प ् रभावी नहीं थे .","gau/aimd00295, 2000년 9월 6일)는 24개의 에이전시, 물리적 및 논리적 액세스 제어 시스템이 일정 또는 남용을 탐지하는 데 효과적이지 않음을 보여주었습니다."
zh,这本书前面部分讲搞笑诺贝尔奖，但不够深入详细，后面部分就不是了，感觉主要在讲一些奇人奇事，很快餐。,"이 책의 전반부는 이그노벨상에 대해 이야기하고 있는데, 충분히 심도 있고 상세하지 않고, 후반부는 그렇지 않다."
tr,"Örneğin , belirli ilkeler , bilgi teknolojisi insan sermayesi gibi bir ilke uygulama için daha derin ve stratejiler soruşturma , daha detaylı bir şekilde önerilen .","예를 들어 구체적인 원칙, 정책 ​​적용 등 정보기술 인적자본, 심도 있는 조사를 위한 전략 등을 보다 구체적으로 제시했다."
vi,Tôi chơi bóng mềm,나는 소프트볼을 한다
zh,开始看到包装箱里的冰袋还以为东西很好，结果打开后才发现，东西都不新鲜了，颜色的变了，可是时间却很新鲜，真不知道这是怎么弄的，不敢再买了,박스에 들어있는 아이스팩을 처음 봤을때는 아주 좋다고 생각했는데 열어보니 더 이상 신선하지 않고 색도 변했지만 시간이 지나니 아주 신선합니다. 그것이 어떻게 이루어 졌는지 모르기 때문에 다시는 사지 않을 것입니다.
ur,فکر نہ کرو ، آپ کا خیال ہے کہ آپ کو اس کے بارے میں فکر نہیں ہوگی ، لیکن آپ کے پاس کوئی بھی بات نہیں ہے ۔,걱정하지 마세요. 걱정할 필요가 없다고 생각하지만 그럴 필요가 없습니다.
vi,Đúng vậy đó là tất cả các buổi chiều tôi sẽ nói cho bạn biết những gì nhưng ơ,그래 그게 오후 내내야 뭐라 말해줄게 근데 eh
el,"Αλλά είπε όχι ότι θα φυτέψει στη γη , όπως πάντα , γιατί πάντα είχε έναν κήπο στη χώρα .",그러나 그는 항상 시골에 정원이 있었기 때문에 늘 그렇듯이 땅에 심겠다고 아니오라고 말했습니다.
vi,"Tôi vẫn còn ở cạnh cửa , sợ phá hủy bất cứ manh mối nào .","나는 여전히 문 앞에 있었고, 어떤 단서도 없애버릴까 두려웠다."
bg,и той не знае до този ден .,그는 오늘까지 알지 못합니다.
pl,AP Źródło: Redskins w zamian za pick nr 2,AP 출처: Redskins가 2순위 픽과 교환
vi,"Tòa Tháp vĩ đại , tuy nhiên , sống sót .",그러나 Great Tower는 살아 남았습니다.
el,"Επίσης κοντά στο kannawa είναι αρκετές καυτές εξελίξεις , συμπεριλαμβανομένων ελκυστικές άνοιξε πισίνες και ιαματικά λουτρά λάσπης με ένα που το έχετε ;",또한 칸나와와 가까운 곳에 매력적인 개방형 수영장과 머드 스파를 포함하여 여러 핫 개발이 있습니다.
tr,"Burada bir şey görmüş gibiydi , şömine ' , onu kesinlikle felç etti. dedim .",그는 여기에서 그를 완전히 마비시킨 벽난로를 본 것 같았습니다. 나는 말했다 .
el,"Ξέρεις , μερικές φορές έχουμε μερικά , αλλά ξέρεις για άλλα κουτάκια , μόνο και μόνο γι ' αυτό θα έπαιρνε μόνο κουτάκια αλουμινίου , έτσι δεν είναι ;","알다시피, 때때로 우리는 몇 가지를 가지고 있지만 다른 캔에 대해서는 알고 있습니다. 단지 그가 알루미늄 캔만 가져갈 것이기 때문입니다. 그렇죠?"
en,It did not work. Very disappointed.,그것은 작동하지 않았다. 정말 실망했다.
fr,Très bien ET pas chère,아주 좋고 저렴한
fr,"Dommage, j'ai sélectionné ce produit pensant qu'il allait s'adapter à mon bureau encastré mais finalement il est légèrement trop grand pour ce dernier, je ne regrette cependant pas mon achat car il trouvera sa place à la maison sur un bureau, support de bonne facture et tout de même pratique pour gagner de la place et surélever un moniteur...","아쉽게도 제 빌트인 책상에 어울릴 것 같아서 이 제품을 골랐는데 결국 빌트인 책상치고는 좀 크긴 한데 집에서 쓰기에는 책상에 딱 맞을 것 같아서 구매를 후회하지 않고, 공간을 절약하고 모니터를 높이는데 좋은 품질과 여전히 실용적인 지원..."
ur,اس شہر کے شمال میں ، سٹیمبوٹ سٹیمبوٹ عجائب گھر کی جانب سے ایک جھیل کی عمر میں واپس آتے ہیں ۔,도시 북쪽에 있는 증기선 증기선 박물관(Steamboat Steamboat Museum)은 호수 시대로 거슬러 올라갑니다.
tr,UM-hum bence bazı şeyler ve ' ve sağlık bakım sisteminden bilgi daha fazla vergi olsun ama sağlık bakım itina ile aldı ve sizde yolsuzluk ve ' yok,음흠 내 생각에는 '그리고 의료 시스템의 정보는 더 많은 부담을 주지만 의료 서비스는 그것을 처리했고 당신은 부패하지 않고'
ru,"Вы замешаны в любых инженерных рисунок , которые",귀하는 다음과 같은 모든 엔지니어링 도면에 관여하고 있습니다.
pl,Zielony silnik parowy poruszający się po torach kolejowych.,철도 트랙에서 움직이는 녹색 증기 엔진.
th,และ ฉัน เดา ว่า แม้ แต่กลับ ไป ที่ เคน เนดี้ เป็น ความจริง ที่ ฉัน เดา ว่า เคน เนดี้ อาจจะ เป็น คน ที่ เริ่มต้น สิ่ง ที่จริง หรือ เป็นคุณ รู้ ว่า สนใจ ใน สิ่ง ที่ ชอบ,그리고 케네디로 돌아가도 사실인 것 같아요. 케네디가 진짜 일을 시작한 사람일 수도 있고 아니면 다음과 같은 것에 관심이 있는지 아시나요
